epoch,train_cross_entropy_loss,val_cross_entropy_loss,train_acc,val_acc
0,0.09860354275853453,0.089430129007104,0.042446916479274045,0.06960916978428719
1,0.07613929499986954,0.07761201554495542,0.102037770392629,0.09046406113189524
2,0.05529334586602899,0.07544380116593655,0.1973891066844441,0.09719016158560853
3,0.03964367809277815,0.07937406337840973,0.345983164514139,0.10105070444957415
4,0.02807132397639128,0.08566598344511508,0.504188971363754,0.10081190798376184
5,0.019596072994002806,0.09487298386478218,0.6436787327615371,0.10105070444957415
6,0.01365911134189474,0.10397914461219215,0.748134365485264,0.09953832683276287
7,0.009635553464946746,0.11466590541948,0.820222483134664,0.10053331210698081
8,0.0073233369872564395,0.12461909252984466,0.8636544546377186,0.09806574862692032
9,0.005879413440821479,0.13227085086804594,0.8903703408887386,0.0948817957494229
10,0.004971248616523614,0.14162843422668428,0.9065789735527651,0.09766775451723314
11,0.004307089754553406,0.1491835245630273,0.9180712821635391,0.09854334155854494
12,0.003890332288919844,0.15612656914731418,0.9256930210344073,0.09567778396879727
13,0.003448677255053755,0.16347888439673106,0.9339316630514816,0.09929953036695056
14,0.0031319520125811175,0.16834920448813953,0.9399514437523632,0.09277242696808087
15,0.003002401778347274,0.17478034409578652,0.9428369584684881,0.09408580753004855
16,0.002811216261599706,0.18195435390306924,0.9453742214085292,0.09412560694101728
17,0.0026467218515264217,0.1860095100931175,0.9480010348052775,0.09384701106423625
18,0.002502224520782537,0.194395892513621,0.9513641519571749,0.09181724110483165
19,0.002402034111256328,0.19844496122052183,0.9541999164195737,0.0946429992836106
20,0.002290445103565754,0.2047193744404058,0.9561799765178802,0.09368781342036138
